timestamp,ax,ay,az,gx,gy,gz,activity
289444, 0.362427, 0.057495, -0.928833, 0.183106, 0.366211, 0.366211,sitting
289464, 0.365356, 0.062744, -0.929321, 0.488281, 0.366211, 0.488281,sitting
289484, 0.363037, 0.061157, -0.929688, 0.488281, 0.122070, 0.366211,sitting
289504, 0.361328, 0.061279, -0.930786, 0.305176, 0.305176, 0.488281,sitting
289524, 0.363525, 0.060425, -0.928589, 0.305176, 0.366211, 0.244141,sitting
289544, 0.364136, 0.061035, -0.929565, 0.122070, 0.305176, 0.427246,sitting
289564, 0.361694, 0.060791, -0.929077, 0.000000, 0.183106, 0.305176,sitting
289584, 0.365479, 0.062012, -0.929199, 0.244141, 0.488281, 0.488281,sitting
289604, 0.365479, 0.061401, -0.928345, 0.244141, 0.122070, 0.305176,sitting
289624, 0.361694, 0.062012, -0.930420, 0.061035, 0.366211, 0.488281,sitting
289644, 0.365479, 0.061523, -0.929077, 0.305176, 0.366211, 0.488281,sitting
289664, 0.365234, 0.064331, -0.928589, 0.488281, 0.305176, 0.610352,sitting
289684, 0.361816, 0.062012, -0.929810, 0.427246, 0.366211, 0.488281,sitting
289704, 0.363281, 0.060669, -0.929810, 0.488281, 0.244141, 0.305176,sitting
289724, 0.360474, 0.058594, -0.929810, 0.244141, 0.366211, 0.305176,sitting
289744, 0.364990, 0.061646, -0.931519, -0.122070, 0.488281, 0.305176,sitting
289764, 0.366455, 0.064697, -0.929810, -0.122070, 0.305176, 0.183106,sitting
289784, 0.364014, 0.065674, -0.927490, 0.122070, 0.183106, 0.305176,sitting
289804, 0.364014, 0.061157, -0.934204, 0.488281, 0.305176, 0.610352,sitting
289824, 0.362427, 0.060425, -0.929810, 0.000000, 0.183106, 0.061035,sitting
289844, 0.362427, 0.062988, -0.930176, 0.305176, 0.427246, 0.427246,sitting
289864, 0.365723, 0.065308, -0.933350, 0.427246, 0.366211, 0.366211,sitting
289884, 0.362915, 0.065063, -0.931274, 0.488281, 0.183106, 0.427246,sitting
289904, 0.363281, 0.062378, -0.931396, 0.732422, 0.366211, 0.488281,sitting
289924, 0.364014, 0.060913, -0.932495, 0.610352, 0.305176, 0.488281,sitting
289944, 0.363037, 0.064819, -0.932983, 0.549316, 0.305176, 0.366211,sitting
289964, 0.364624, 0.062622, -0.932129, 0.671387, 0.488281, 0.610352,sitting
289984, 0.362793, 0.065430, -0.932007, 1.159668, 0.305176, 0.549316,sitting
290004, 0.366821, 0.057617, -0.939331, 0.366211, 0.488281, 0.915528,sitting
290024, 0.359497, 0.061768, -0.922241, 0.122070, -0.122070, -0.366211,sitting
290044, 0.366943, 0.065308, -0.943237, 0.793457, 1.098633, 1.708985,sitting
290064, 0.366699, 0.055054, -0.924805, -0.427246, -0.427246, -0.976563,sitting
290084, 0.359985, 0.065186, -0.934448, 0.915528, 0.671387, 1.342773,sitting
290104, 0.365234, 0.056763, -0.932617, -0.061035, 0.183106, -0.366211,sitting
290124, 0.363525, 0.069092, -0.932861, 0.549316, 0.183106, 0.793457,sitting
290144, 0.361938, 0.055298, -0.931519, 0.000000, 0.488281, 0.183106,sitting
290164, 0.364380, 0.064087, -0.936279, 0.183106, 0.305176, 0.854492,sitting
290184, 0.359741, 0.057373, -0.926636, -0.305176, 0.122070, -0.427246,sitting
290204, 0.366089, 0.067261, -0.936523, 0.427246, 0.610352, 1.159668,sitting
290224, 0.365845, 0.058472, -0.930054, -0.244141, 0.000000, -0.244141,sitting
290244, 0.363647, 0.068481, -0.930542, 0.671387, 0.183106, 0.854492,sitting
290264, 0.361328, 0.054810, -0.933472, -0.366211, 0.427246, 0.305176,sitting
290284, 0.366699, 0.063599, -0.931763, -0.122070, 0.366211, 0.366211,sitting
290304, 0.363770, 0.063599, -0.929810, -0.244141, 0.244141, 0.183106,sitting
290324, 0.366333, 0.068726, -0.929321, 0.671387, 0.244141, 0.366211,sitting
290344, 0.361206, 0.055908, -0.931152, 0.183106, 0.244141, -0.061035,sitting
290364, 0.363892, 0.062866, -0.931641, 0.427246, 0.305176, 0.549316,sitting
290384, 0.364136, 0.063721, -0.933228, -0.122070, 0.305176, 0.183106,sitting
290404, 0.365234, 0.068115, -0.932373, 0.305176, 0.244141, 0.549316,sitting
290424, 0.362793, 0.061401, -0.932983, 0.244141, 0.244141, 0.549316,sitting
290444, 0.364136, 0.062134, -0.932373, 0.366211, 0.244141, 0.305176,sitting
290464, 0.363647, 0.063721, -0.932861, 0.427246, 0.305176, 0.427246,sitting
290484, 0.364380, 0.064087, -0.931396, 0.793457, 0.244141, 0.427246,sitting
290504, 0.361572, 0.060547, -0.933105, 0.549316, 0.244141, 0.610352,sitting
290524, 0.364868, 0.061768, -0.932739, 0.244141, 0.427246, 0.366211,sitting
290544, 0.363892, 0.065796, -0.929321, 0.488281, 0.244141, 0.427246,sitting
290564, 0.364990, 0.064209, -0.932861, 0.976563, 0.305176, 0.671387,sitting
290584, 0.362793, 0.059448, -0.931885, 0.610352, 0.122070, 0.488281,sitting
290604, 0.362061, 0.058960, -0.931030, 0.366211, 0.305176, 0.427246,sitting
290624, 0.363892, 0.063843, -0.931519, 0.610352, 0.305176, 0.427246,sitting
290644, 0.363892, 0.062012, -0.933350, 0.488281, 0.305176, 0.610352,sitting
290664, 0.362915, 0.061157, -0.930298, 0.122070, 0.122070, 0.366211,sitting
290684, 0.362671, 0.061646, -0.930786, 0.488281, 0.366211, 0.610352,sitting
290704, 0.365112, 0.061768, -0.932495, 0.244141, 0.122070, 0.244141,sitting
290724, 0.360840, 0.061157, -0.930054, 0.366211, 0.183106, 0.366211,sitting
290744, 0.363770, 0.062866, -0.932739, 0.305176, 0.366211, 0.305176,sitting
290764, 0.364380, 0.062500, -0.932373, 0.366211, 0.244141, 0.488281,sitting
290784, 0.363281, 0.060425, -0.931152, 0.122070, 0.244141, 0.366211,sitting
290804, 0.364624, 0.064453, -0.931519, 0.427246, 0.305176, 0.488281,sitting
290824, 0.363281, 0.061890, -0.932739, 0.244141, 0.122070, 0.549316,sitting
290844, 0.362305, 0.059692, -0.934326, 0.305176, 0.488281, 0.488281,sitting
290864, 0.364380, 0.058838, -0.930908, -15.502934, 0.183106, 0.183106,sitting
290884, 0.361694, 0.067017, -0.933350, 0.366211, 0.305176, 0.488281,sitting
290904, 0.364746, 0.063721, -0.933960, 0.671387, 0.366211, 0.488281,sitting
290924, 0.365479, 0.062378, -0.930420, 0.610352, 0.061035, 0.305176,sitting
290944, 0.361816, 0.062622, -0.932129, 0.793457, 0.244141, 0.549316,sitting
290964, 0.363770, 0.060547, -0.934082, 0.671387, 0.244141, 0.488281,sitting
290984, 0.362183, 0.061523, -0.933594, 0.488281, 0.183106, 0.427246,sitting
291004, 0.363403, 0.061768, -0.932617, 0.488281, 0.427246, 0.549316,sitting
291024, 0.364868, 0.063232, -0.932129, 0.366211, 0.244141, 0.427246,sitting
291044, 0.363647, 0.059326, -0.934204, 0.488281, 0.244141, 0.488281,sitting
291064, 0.362549, 0.061157, -0.932373, 0.427246, 0.183106, 0.366211,sitting
291084, 0.362427, 0.062744, -0.933350, 0.549316, 0.305176, 0.549316,sitting
291104, 0.363770, 0.058838, -0.931885, 0.427246, 0.305176, 0.366211,sitting
291124, 0.363159, 0.058716, -0.932617, 0.122070, 0.244141, 0.427246,sitting
291144, 0.363281, 0.061646, -0.932007, 0.183106, 0.305176, 0.305176,sitting
291164, 0.364502, 0.064575, -0.932617, 0.427246, 0.244141, 0.488281,sitting
291184, 0.362793, 0.062622, -0.931885, 0.488281, 0.244141, 0.427246,sitting
291204, 0.362427, 0.058350, -0.931885, 0.427246, 0.305176, 0.427246,sitting
291224, 0.362793, 0.059937, -0.932983, 0.061035, 0.366211, 0.244141,sitting
291244, 0.364136, 0.065552, -0.933105, 0.183106, 0.366211, 0.305176,sitting
291264, 0.364380, 0.064331, -0.930908, 0.488281, 0.122070, 0.488281,sitting
291284, 0.364746, 0.059448, -0.932373, 0.610352, 0.244141, 0.610352,sitting
291304, 0.362183, 0.056396, -0.932373, 0.183106, 0.183106, 0.305176,sitting
291324, 0.362671, 0.060547, -0.933228, 0.000000, 0.427246, 0.366211,sitting
291344, 0.362305, 0.062256, -0.932129, 0.000000, 0.305176, 0.244141,sitting
291364, 0.363892, 0.063721, -0.932251, 0.366211, 0.366211, 0.549316,sitting
291384, 0.363770, 0.060181, -0.930786, 0.305176, 0.244141, 0.366211,sitting
291404, 0.362061, 0.059326, -0.934082, 0.183106, 0.305176, 0.488281,sitting
291424, 0.362427, 0.060181, -0.931396, 0.122070, 0.366211, 0.305176,sitting
291444, 0.364990, 0.062256, -0.932495, 0.305176, 0.488281, 0.488281,sitting
291464, 0.364624, 0.061646, -0.930786, 0.244141, 0.183106, 0.183106,sitting
