timestamp,ax,ay,az,gx,gy,gz,activity
36942, 0.529297, -0.695923, -0.476074, -5.920412, 1.586915, -0.732422,wrist curl
36962, 0.537109, -0.710449, -0.486084, -4.028320, 0.671387, 0.976563,wrist curl
36982, 0.540039, -0.738770, -0.482178, -5.371094, 0.732422, -0.427246,wrist curl
37002, 0.539551, -0.727539, -0.475586, -8.666992, 1.342773, -2.502441,wrist curl
37022, 0.542480, -0.717407, -0.484741, -11.596684, 3.356935, -1.525879,wrist curl
37042, 0.545044, -0.700684, -0.480713, -12.329105, 2.868653, -0.244141,wrist curl
37062, 0.547974, -0.692993, -0.484375, -10.803223, 1.159668, 0.244141,wrist curl
37082, 0.548462, -0.696777, -0.496460, -7.934572, 0.061035, -0.427246,wrist curl
37102, 0.542969, -0.702515, -0.494019, -7.690432, 0.061035, -1.831055,wrist curl
37122, 0.543823, -0.714478, -0.492432, -7.934572, 0.366211, -2.441406,wrist curl
37142, 0.536865, -0.705444, -0.497314, -8.239746, 0.732422, -2.502441,wrist curl
37162, 0.535400, -0.696167, -0.496460, -6.591799, 1.159668, -1.708985,wrist curl
37182, 0.544800, -0.702148, -0.503540, -3.112794, 1.037598, -0.061035,wrist curl
37202, 0.543701, -0.721191, -0.498901, 1.037598, 0.183106, 1.037598,wrist curl
37222, 0.534424, -0.730347, -0.496460, -1.831055, 0.305176, 0.183106,wrist curl
37242, 0.532593, -0.737305, -0.487671, -4.943848, 0.305176, -0.488281,wrist curl
37262, 0.530884, -0.736328, -0.486938, -8.361816, 0.549316, 0.305176,wrist curl
37282, 0.531250, -0.734375, -0.503418, -10.375977, 1.037598, 2.380371,wrist curl
37302, 0.532227, -0.749146, -0.512695, -11.352543, 1.342773, 3.967286,wrist curl
37322, 0.552856, -0.774170, -0.532593, -14.282230, 2.014160, 3.356935,wrist curl
37342, 0.556274, -0.798096, -0.505249, -24.902351, -4.943848, 8.361816,wrist curl
37362, 0.539673, -0.760376, -0.534668, -35.095215, -11.596684, 12.329105,wrist curl
37382, 0.529053, -0.661987, -0.553833, -30.090340, -11.657719, 18.554688,wrist curl
37402, 0.525269, -0.655396, -0.556763, -15.930180, -16.052246, 19.714355,wrist curl
37422, 0.501465, -0.649658, -0.578857, -1.953125, -21.179199, 18.188477,wrist curl
