timestamp,ax,ay,az,gx,gy,gz,activity
288009, 0.520508, 0.870239, 0.109497, 2.075195, 1.037598, -0.305176,rlswing
288029, 0.517822, 0.863281, 0.108643, 1.953125, 0.854492, 0.244141,rlswing
288049, 0.513062, 0.860596, 0.109253, -0.915528, 1.647950, -0.854492,rlswing
288069, 0.516846, 0.860840, 0.116455, -1.403809, 1.098633, 0.305176,rlswing
288089, 0.517700, 0.849731, 0.109863, 0.061035, 0.549316, -0.122070,rlswing
288109, 0.515503, 0.850342, 0.104004, 0.976563, 1.708985, -1.770020,rlswing
288129, 0.514648, 0.863037, 0.111938, 0.488281, 2.502441, -2.075195,rlswing
288149, 0.519043, 0.863159, 0.119263, -0.366211, 1.647950, -0.915528,rlswing
288169, 0.527710, 0.837402, 0.104736, -1.464844, 0.366211, -0.915528,rlswing
288189, 0.533691, 0.790039, 0.080200, -3.845216, 1.647950, -4.455566,rlswing
288209, 0.516968, 0.797241, 0.075195, -6.103518, 8.361816, -18.310547,rlswing
288229, 0.505127, 0.829712, 0.111084, -4.699707, 10.986328, -23.132332,rlswing
288249, 0.492310, 0.879150, 0.124756, -5.249023, 9.643555, -25.695808,rlswing
288269, 0.471680, 0.899780, 0.135620, -6.347658, 10.375977, -22.949226,rlswing
288289, 0.464478, 0.913330, 0.155396, -8.728027, 8.544922, -23.071297,rlswing
288309, 0.444092, 0.995361, 0.144531, -7.141115, 7.385256, -20.324707,rlswing
288329, 0.408569, 1.060913, 0.161499, -0.793457, 10.803223, -8.850098,rlswing
288349, 0.338989, 1.157593, 0.232910, 6.103518, 12.451176, -0.183106,rlswing
288369, 0.285156, 1.367798, 0.340210, 21.362305, 1.159668, 45.288101,rlswing
288389, 0.327271, 1.454102, 0.340454, 29.296883, -20.812988, 105.834991,rlswing
288409, 0.327393, 1.303711, 0.220947, 30.944832, -39.794922, 157.836914,rlswing
288429, 0.358765, 1.080444, 0.090454, 34.179688, -36.132813, 195.556702,rlswing
288449, 0.426636, 0.771851, 0.083130, 30.029305, -32.470703, 203.247131,rlswing
288469, 0.496704, 0.602295, 0.068115, 24.230965, -29.785164, 185.669006,rlswing
288489, 0.555786, 0.577881, 0.048218, 21.606445, -28.564461, 166.748047,rlswing
288509, 0.590454, 0.695923, 0.055542, 31.555183, -25.817879, 163.879395,rlswing
288529, 0.626709, 0.614746, 0.025391, 36.560059, -26.855476, 183.776917,rlswing
288549, 0.709351, 0.408691, -0.002808, 17.761230, -39.916992, 186.096252,rlswing
288569, 0.693604, 0.423218, -0.080322, 21.240234, -29.174812, 180.481018,rlswing
288589, 0.682739, 0.410156, 0.007202, 34.973145, -14.892582, 192.993225,rlswing
288609, 0.693848, 0.370239, 0.127441, 40.710449, -23.010262, 208.923401,rlswing
288629, 0.702515, 0.367065, 0.092285, 33.630371, -44.494644, 232.910217,rlswing
288649, 0.678589, 0.218384, -0.079590, 24.475105, -53.344742, 262.634277,rlswing
288669, 0.597168, -0.013916, -0.154541, 22.094727, -35.278320, 270.080566,rlswing
288689, 0.565186, -0.093018, -0.043091, 24.597176, -21.423340, 270.263672,rlswing
288709, 0.655396, -0.467773, -0.003662, 19.775391, -51.391617, 289.733887,rlswing
288729, 0.680786, -0.756104, -0.236816, -3.295899, -64.575195, 259.643555,rlswing
288749, 0.708618, -0.970459, -0.426636, -17.089844, -38.024902, 219.421448,rlswing
288769, 0.765991, -1.189087, -0.391235, -21.118164, -2.685547, 156.555176,rlswing
288789, 0.838745, -1.171631, -0.238525, -15.991215, 12.390141, 89.233429,rlswing
288809, 0.902466, -1.067017, -0.181030, -10.192871, 2.441406, 45.959488,rlswing
288829, 0.922241, -0.975586, -0.282593, -9.643555, -4.638672, 21.789551,rlswing
288849, 0.902832, -1.021484, -0.363159, -8.300781, 6.835939, 12.634281,rlswing
288869, 0.897949, -1.175415, -0.275513, -6.408693, 18.676758, -4.638672,rlswing
288889, 0.876343, -1.461182, -0.350098, 3.967286, 10.070801, -64.819336,rlswing
288909, 0.768311, -1.497925, -0.520020, 8.666992, 28.991707, -145.019531,rlswing
288929, 0.657227, -1.149780, -0.522217, 7.263186, 66.955566, -228.393616,rlswing
288949, 0.582886, -0.661743, -0.264038, 9.704590, 95.214874, -262.512207,rlswing
288969, 0.564453, -0.464233, 0.007568, 10.009766, 88.378906, -257.324219,rlswing
288989, 0.536377, -0.488037, 0.147583, 5.004883, 58.837906, -253.234924,rlswing
289009, 0.465698, -0.596558, 0.093384, -5.126953, 29.357918, -280.944824,rlswing
289029, 0.447388, -0.318237, -0.172363, -25.756844, 18.676758, -344.970703,rlswing
289049, 0.399292, 0.528198, -0.348267, -11.169437, 91.857941, -352.905273,rlswing
289069, 0.416748, 0.662354, 0.031738, 2.807618, 124.145538, -279.846191,rlswing
289089, 0.432495, 0.520874, 0.433716, 8.789063, 106.079132, -225.036682,rlswing
289109, 0.415527, 0.250000, 0.640137, 5.615236, 48.828140, -211.608948,rlswing
289129, 0.374023, 0.179443, 0.484009, -8.056641, -18.066406, -263.671875,rlswing
