timestamp,ax,ay,az,gx,gy,gz,activity
64417, -0.031616, 0.242920, -0.967529, 0.366211, -0.122070, -0.183106,sit
64437, -0.032349, 0.242310, -0.968262, 0.366211, -0.122070, -0.244141,sit
64457, -0.032471, 0.242676, -0.967896, 0.305176, -0.122070, -0.244141,sit
64477, -0.032715, 0.242676, -0.968384, 0.427246, -0.122070, -0.183106,sit
64497, -0.031006, 0.241943, -0.967896, 0.427246, -0.122070, -0.244141,sit
64517, -0.030640, 0.242920, -0.968384, 0.427246, -0.183106, -0.183106,sit
64537, -0.031982, 0.242554, -0.968262, 0.366211, -0.122070, -0.183106,sit
64557, -0.031738, 0.243408, -0.968018, 0.366211, -0.122070, -0.244141,sit
64577, -0.031860, 0.241577, -0.968018, 0.427246, -0.122070, -0.183106,sit
64597, -0.032104, 0.242798, -0.968384, 0.366211, -0.061035, -0.183106,sit
64617, -0.031860, 0.242798, -0.968140, 0.366211, -0.122070, -0.183106,sit
64637, -0.031860, 0.241577, -0.967651, 0.366211, -0.122070, -0.183106,sit
64657, -0.031982, 0.242676, -0.967529, 0.305176, -0.122070, -0.183106,sit
64677, -0.032104, 0.243530, -0.968140, 0.366211, -0.122070, -0.183106,sit
64697, -0.031616, 0.242310, -0.968140, 0.366211, -0.122070, -0.244141,sit
64717, -0.031860, 0.242310, -0.968140, 0.366211, -0.122070, -0.183106,sit
64737, -0.031128, 0.242432, -0.968506, 0.366211, -0.183106, -0.244141,sit
64757, -0.031494, 0.243042, -0.967041, 0.366211, -0.122070, -0.183106,sit
64777, -0.032837, 0.242798, -0.968384, 0.427246, -0.122070, -0.183106,sit
64797, -0.031738, 0.242310, -0.968750, 0.366211, -0.122070, -0.183106,sit
64817, -0.031860, 0.242432, -0.967896, 0.366211, -0.183106, -0.183106,sit
64837, -0.031616, 0.242920, -0.967529, 0.366211, -0.122070, -0.244141,sit
64857, -0.031128, 0.242554, -0.968384, 0.427246, -0.122070, -0.183106,sit
64877, -0.031616, 0.242188, -0.968628, 0.427246, -0.122070, -0.183106,sit
64897, -0.033325, 0.242798, -0.968140, 0.366211, -0.183106, -0.244141,sit
64917, -0.032104, 0.243530, -0.968140, 0.427246, -0.183106, -0.244141,sit
64937, -0.032227, 0.242554, -0.968994, 0.427246, -0.244141, -0.183106,sit
64957, -0.032349, 0.242432, -0.968262, 0.366211, -0.183106, -0.244141,sit
64977, -0.032349, 0.241943, -0.967896, 0.366211, -0.183106, -0.244141,sit
