timestamp,ax,ay,az,gx,gy,gz,activity
444817, 0.798828, 0.084351, -0.479492, 0.366211, -4.882813, -6.530764,updown
444837, 0.797241, 0.070313, -0.462402, 2.685547, -15.502934, -7.019045,updown
444857, 0.795410, 0.060669, -0.458984, -1.464844, -22.888191, -7.080080,updown
444877, 0.792603, 0.005371, -0.396606, -15.197758, -28.381355, -3.540040,updown
444897, 0.772705, -0.088257, -0.282715, -35.095215, -41.564941, -6.042482,updown
444917, 0.718628, -0.172241, -0.193726, -42.663574, -68.298340, -18.127441,updown
444937, 0.653564, -0.161011, -0.288208, -10.864258, -112.548859, -52.124039,updown
444957, 0.541992, 0.147339, -0.565674, 71.228027, -128.234863, -93.688995,updown
444977, 0.514282, 0.324463, -0.446899, 90.087921, -132.019043, -87.829590,updown
444997, 0.478882, 0.369019, -0.305298, 54.687515, -158.081055, -46.813980,updown
445017, 0.368164, 0.199219, -0.396606, 8.666992, -212.341370, -3.540040,updown
445037, 0.229614, 0.021851, -0.720703, 2.258301, -240.356506, -2.746582,updown
445057, 0.139282, 0.011353, -0.949707, 28.503426, -233.886780, -27.893074,updown
445077, 0.065186, 0.034912, -1.053345, 58.959976, -217.895569, -46.875015,updown
445097, 0.003784, 0.060059, -1.134644, 63.598648, -206.604065, -55.236832,updown
445117, -0.051514, 0.127563, -1.263428, 66.406250, -199.035706, -49.133316,updown
445137, -0.109741, 0.087036, -1.392578, 47.851578, -156.677246, -16.784668,updown
445157, -0.161987, 0.020142, -1.433228, 35.644531, -125.427277, -12.878422,updown
445177, -0.211426, 0.035522, -1.478638, 34.790039, -97.473175, -17.883301,updown
445197, -0.256226, 0.063965, -1.530884, 48.034683, -72.753906, -16.113281,updown
445217, -0.342896, 0.068726, -1.596558, 67.016602, -57.800308, -9.094238,updown
445237, -0.403687, 0.026733, -1.732788, 74.829102, -45.410172, 8.422852,updown
445257, -0.433594, -0.055786, -1.901855, 77.575684, -12.634281, 21.789551,updown
445277, -0.450073, -0.114136, -1.968384, 68.115234, 57.739273, 27.404793,updown
445297, -0.469360, -0.166748, -1.840698, 34.301758, 172.973633, 30.029305,updown
445317, -0.465820, -0.239746, -1.579834, -13.488773, 238.281311, 45.959488,updown
445337, -0.428955, -0.322388, -1.306396, -49.072281, 272.094727, 52.856461,updown
445358, -0.333862, -0.334839, -1.186401, -54.992691, 283.569336, 40.405273,updown
445378, -0.249756, -0.280396, -1.058350, -57.189957, 303.894043, 33.325195,updown
445398, -0.140503, -0.288574, -0.871582, -51.940933, 331.237793, 28.503426,updown
445418, -0.023804, -0.296387, -0.607788, -66.589355, 349.243164, 25.207527,updown
445438, 0.121704, -0.256348, -0.373169, -64.453125, 351.379395, 5.676271,updown
445458, 0.378540, -0.073608, -0.018066, -42.236328, 335.266113, -16.845703,updown
445478, 0.508179, -0.091187, 0.306885, -39.428711, 316.955566, -0.488281,updown
445498, 0.648804, -0.126953, 0.601929, -33.386230, 247.192444, -5.432129,updown
445518, 0.774536, -0.049683, 0.720215, -11.962894, 147.766113, -22.216805,updown
445538, 0.849609, 0.062134, 0.629639, -5.004883, 43.518066, -25.695808,updown
445558, 0.868042, 0.139038, 0.294678, 12.878422, -35.339355, -17.761230,updown
445578, 0.868164, 0.096313, -0.023071, 26.733406, -68.420410, 0.854492,updown
445598, 0.866699, 0.006714, -0.231567, 15.319828, -77.575684, 10.803223,updown
445618, 0.872803, -0.074707, -0.445313, -19.958496, -63.476578, 9.704590,updown
445638, 0.872925, -0.105103, -0.499756, -27.587898, -38.330078, -3.051759,updown
445658, 0.867310, -0.068726, -0.441650, -13.488773, -16.174316, -20.019531,updown
445678, 0.862915, 0.014282, -0.299316, 4.882813, -8.361816, -28.076180,updown
445698, 0.861328, 0.039429, -0.122192, 2.685547, -11.840824, -23.986824,updown
445718, 0.842529, 0.017700, 0.068237, -24.353035, -28.686531, -18.310547,updown
445738, 0.803711, -0.056763, 0.255859, -62.988297, -56.640640, -11.474613,updown
445758, 0.705200, -0.186035, 0.378906, -75.195313, -104.003937, -20.996094,updown
445778, 0.480347, -0.116943, 0.287720, -15.319828, -219.543518, -95.886261,updown
445798, 0.271118, 0.256592, -0.179443, 62.561050, -312.072754, -152.770996,updown
445818, 0.114014, 0.539917, -0.724365, 142.883301, -371.826294, -145.263672,updown
445838, 0.057007, 0.556274, -1.149292, 150.024414, -367.248657, -63.110367,updown
