Sequence No,Buffer_Size,ax,ay,az,gx,gy,gz,mx,my,mz
130,100,-0.8044434,0.00402832,0.1564941,-98.96302,-151.7642,-78.25226,0.03344727,-0.1583252,-0.8500977
131,100,-1.357178,-0.78125,0.06713867,71.82968,130.56,15.79849,0.03344727,-0.1583252,-0.8500977
132,100,-0.9644775,-0.09973145,0.02770996,-28.22495,-51.88904,1.712189,0.03344727,-0.1583252,-0.8500977
133,100,-2.551392,0.7478027,0.5637207,-32.2699,-139.9135,4.134674,0.03344727,-0.1583252,-0.8500977
134,100,-0.387207,-0.7001953,-0.1015625,123.5841,182.7107,37.14478,0.03344727,-0.1583252,-0.8500977
135,100,-0.4680176,-0.527832,0.2585449,-202.6888,-244.0505,-27.07352,0.03344727,-0.1583252,-0.8500977
136,100,-0.8837891,-0.8687744,0.753418,101.7145,244.9626,48.26279,0.03344727,-0.1583252,-0.8500977
137,100,-0.8337402,-0.4927979,-0.3405762,-96.16669,-221.7995,-55.3209,0.002197266,-0.1530762,-0.8341064
138,100,-1.152222,-0.3377686,-0.2539063,16.00784,136.8854,1.218719,0.002197266,-0.1530762,-0.8341064
139,100,-1.012939,-0.3570557,-0.05627441,62.33414,-72.18857,-21.39862,0.002197266,-0.1530762,-0.8341064
140,100,-1.97229,-0.8825684,-0.06005859,72.58484,19.77615,25.46601,0.002197266,-0.1530762,-0.8341064
141,100,-0.2811279,-0.434082,-0.2893066,-16.35178,103.2323,-4.172058,0.002197266,-0.1530762,-0.8341064
142,100,-0.7041016,0.3747559,0.1431885,-139.5845,-220.1396,7.529145,0.002197266,-0.1530762,-0.8341064
143,100,-0.6949463,0.07299805,0.670166,123.0084,232.5063,-2.123413,0.002197266,-0.1530762,-0.8341064
144,100,-0.286377,-0.3950195,-0.09106445,-53.22739,-197.8513,-47.36557,0.002197266,-0.1530762,-0.8341064
145,100,-0.4674072,-0.8693848,-0.03552246,168.3328,244.9626,13.41339,-0.07714844,-0.2194824,-0.7121582
146,100,-0.0513916,-0.03308105,0.03051758,-18.27332,-231.4595,-28.12027,-0.07714844,-0.2194824,-0.7121582
147,100,-1.313721,-0.3243408,-0.1140137,174.7554,194.8232,-19.89578,-0.07714844,-0.2194824,-0.7121582
148,100,-0.3775635,-0.9378662,0.1804199,-24.22486,-175.3236,-104.9295,-0.07714844,-0.2194824,-0.7121582
149,100,-1.460938,-0.8276367,0.2175293,189.2978,210.7787,-50.09461,-0.07714844,-0.2194824,-0.7121582
150,100,-0.3483887,-0.9168701,-0.08349609,-22.31079,-161.9102,-92.24885,-0.07714844,-0.2194824,-0.7121582
151,100,-1.76123,-0.3710938,0.4063721,244.9626,244.9626,-10.0264,-0.07714844,-0.2194824,-0.7121582
152,100,-0.6485596,-0.2027588,-0.3070068,43.78418,-169.1478,-62.84256,-0.07714844,-0.2194824,-0.7121582
153,100,-2.119995,-0.1867676,-0.3099365,208.3711,244.8505,-19.05838,-0.06347656,-0.2314453,-0.6585693
154,100,-0.7546387,-0.3118896,0.1599121,43.2608,-99.52378,-43.28323,-0.06347656,-0.2314453,-0.6585693
155,100,-3.999512,0.7525635,0.4384766,-91.08247,19.13315,-59.85932,-0.06347656,-0.2314453,-0.6585693
156,100,-2.66687,0.8140869,0.05871582,-22.31079,8.658142,-29.66049,-0.06347656,-0.2314453,-0.6585693
157,100,-0.3754883,-0.6312256,0.6868896,-230.3156,-112.1372,-48.75626,-0.06347656,-0.2314453,-0.6585693
158,100,0.3793945,-0.4373779,0.03161621,102.4622,170.6506,120.2121,-0.06347656,-0.2314453,-0.6585693
159,100,0.119873,-0.7868652,-0.05297852,-160.2878,-194.2848,-67.00714,-0.06347656,-0.2314453,-0.6585693
160,100,-0.5317383,-1.093628,0.4816895,92.82456,234.8316,103.8379,-0.06347656,-0.2314453,-0.6585693
161,100,-0.4892578,0.06298828,-0.1566162,-59.45557,-218.0087,-78.58871,0.06140137,-0.1790771,-0.8393555
162,100,-2.068359,0.05810547,-0.5601807,153.4465,190.367,-28.58383,0.06140137,-0.1790771,-0.8393555
163,100,-0.6925049,0.1640625,-0.1593018,2.145844,-94.3274,-49.51889,0.06140137,-0.1790771,-0.8393555
164,100,-3.999512,0.3322754,0.755249,27.3053,-7.910462,-26.66977,0.06140137,-0.1790771,-0.8393555
165,100,-0.512207,0.6193848,-0.5645752,-96.7125,125.0421,7.925416,0.06140137,-0.1790771,-0.8393555
166,100,0.1118164,-0.2479248,0.4106445,-244.8355,-190.8006,-21.63788,0.06140137,-0.1790771,-0.8393555
167,100,-0.7525635,-0.9848633,0.2843018,68.01651,215.9751,23.20801,0.06140137,-0.1790771,-0.8393555
168,100,-0.723877,-0.08435059,-0.001342773,-61.51917,-176.4153,-59.02192,0.06140137,-0.1790771,-0.8393555
169,100,-1.769287,-0.463501,-0.0300293,117.3485,128.0478,-32.04559,-0.003295898,-0.24646,-0.6955566
170,100,-1.769897,0.04528809,0.2694092,102.1332,-34.12415,29.37638,-0.003295898,-0.24646,-0.6955566
171,100,-2.128662,0.2657471,-0.2208252,-96.2938,-95.14985,30.00443,-0.003295898,-0.24646,-0.6955566
172,100,-0.1542969,-0.3193359,0.244751,33.80264,203.2944,35.37277,-0.003295898,-0.24646,-0.6955566
173,100,-0.1578369,0.09326172,-0.001098633,-198.0158,-132.646,-53.10028,-0.003295898,-0.24646,-0.6955566
174,100,-1.202637,-0.3939209,0.2579346,94.29749,126.687,-6.280518,-0.003295898,-0.24646,-0.6955566
175,100,-1.121948,-0.2023926,-0.1325684,-45.87021,-118.627,-32.30728,-0.003295898,-0.24646,-0.6955566
176,100,-3.999512,2.232422,1.109619,145.2818,-73.15308,-74.00543,-0.003295898,-0.24646,-0.6955566
177,100,-0.01220703,-0.138916,-0.1177979,78.22235,151.3231,54.43863,0.04467773,-0.2193604,-0.7733154
178,100,0.3789063,-0.3807373,0.3356934,-118.6794,-172.9535,-33.24936,0.04467773,-0.2193604,-0.7733154
179,100,-0.6811523,-0.5454102,0.5048828,109.2586,145.6332,8.052521,0.04467773,-0.2193604,-0.7733154
180,100,-0.956665,-0.3375244,0.02429199,-29.05487,-170.7254,-36.06812,0.04467773,-0.2193604,-0.7733154
181,100,-1.952515,-0.004394531,-0.1844482,142.5005,108.4062,-16.48636,0.04467773,-0.2193604,-0.7733154
182,100,-0.5852051,1.052124,-0.489502,-38.72986,98.9705,14.44519,0.04467773,-0.2193604,-0.7733154
183,100,-0.3717041,0.1501465,0.5690918,-218.2181,-165.0804,25.0473,0.04467773,-0.2193604,-0.7733154
184,100,-0.390625,-0.1333008,0.3647461,-2.310333,244.9626,77.44476,0.04467773,-0.2193604,-0.7733154
