Sequence No,Buffer_Size,ax,ay,az,gx,gy,gz,mx,my,mz
150,100,-0.08740234,-0.4133301,0.961792,1.749573,-8.605804,-8.867493,0.3527832,0.2893066,-0.7749023
151,100,-0.185791,-0.3421631,0.9122314,-15.84335,-12.8302,-0.388794,0.3527832,0.2893066,-0.7749023
152,100,-0.1335449,-0.3410645,0.9212646,7.835694,-11.23764,-15.19287,0.3527832,0.2893066,-0.7749023
153,100,-0.1912842,-0.4437256,0.8852539,8.224487,14.72183,-15.29755,0.3527832,0.2893066,-0.7749023
154,100,-0.3856201,0.008544922,0.8552246,-70.19974,-44.55429,-16.68823,0.3527832,0.2893066,-0.7749023
155,100,-0.3369141,-0.1113281,0.8446045,54.319,63.61267,-4.433746,0.2564697,0.2580566,-0.8851318
156,100,-0.4632568,0.2025146,0.8631592,9.27124,-29.7876,-0.1121521,0.2564697,0.2580566,-0.8851318
157,100,-0.3095703,0.4165039,0.9007568,28.96515,96.63773,20.41916,0.2564697,0.2580566,-0.8851318
158,100,-0.2768555,0.4321289,0.817627,-54.25919,-47.53754,-44.57673,0.2564697,0.2580566,-0.8851318
159,100,-0.3237305,0.2220459,0.8913574,50.75257,2.915955,39.65698,0.2564697,0.2580566,-0.8851318
160,100,-0.4355469,0.1368408,0.8270264,-5.517884,42.27386,-26.04172,0.2564697,0.2580566,-0.8851318
161,100,-0.2724609,-0.00402832,0.9262695,10.69183,-16.47141,21.81732,0.2564697,0.2580566,-0.8851318
162,100,-0.4752197,0.37146,0.8226318,42.0047,10.31799,41.06262,0.2095947,0.2296143,-0.9237061
163,100,-0.2185059,0.1846924,1.022949,-49.85535,-25.0174,-35.06622,0.2095947,0.2296143,-0.9237061
164,100,-0.2208252,0.1486816,0.982666,56.12839,47.28333,83.68042,0.2095947,0.2296143,-0.9237061
165,100,-0.1635742,-0.08435059,0.9576416,-0.4187012,-11.30493,-29.76517,0.2095947,0.2296143,-0.9237061
166,100,-0.2840576,0.2794189,0.9211426,14.24332,-2.34024,29.53339,0.2095947,0.2296143,-0.9237061
167,100,-0.2854004,0.1937256,0.9174805,-11.17783,-19.28268,-13.36853,0.2095947,0.2296143,-0.9237061
168,100,-0.2298584,-0.02783203,0.9521484,-8.590851,16.59851,-40.38223,0.2095947,0.2296143,-0.9237061
169,100,-0.3647461,-0.06567383,0.9135742,26.00434,-26.48285,28.22495,0.2524414,0.2416992,-0.8952637
170,100,-0.302124,0.1351318,0.9244385,-4.329071,24.43421,32.86804,0.2524414,0.2416992,-0.8952637
171,100,-0.2110596,-0.02624512,0.934082,-33.61572,-50.47593,-44.40476,0.2524414,0.2416992,-0.8952637
172,100,-0.3555908,0.02709961,0.8789063,3.671112,24.80805,-2.160797,0.2524414,0.2416992,-0.8952637
173,100,-0.3505859,0.1594238,0.8776855,10.60211,1.338348,5.592652,0.2524414,0.2416992,-0.8952637
174,100,-0.3331299,0.1517334,0.8924561,0.1869202,-5.906678,5.136566,0.2524414,0.2416992,-0.8952637
175,100,-0.2957764,0.09082031,0.9432373,-1.719666,-11.97785,-4.545898,0.2524414,0.2416992,-0.8952637
176,100,-0.2841797,0.08898926,0.9425049,-4.000092,18.28079,-1.786957,0.2305908,0.2119141,-0.9207764
177,100,-0.3363037,0.217041,0.8790283,-8.867493,-0.2018738,4.42627,0.2305908,0.2119141,-0.9207764
178,100,-0.3808594,0.2254639,0.831665,-25.90714,-3.18512,-3.155213,0.2305908,0.2119141,-0.9207764
179,100,-0.3466797,0.1861572,0.9121094,-5.046844,3.461762,0.2766418,0.2305908,0.2119141,-0.9207764
180,100,-0.3520508,0.1657715,0.8873291,3.244934,-0.8374024,-1.315918,0.2305908,0.2119141,-0.9207764
181,100,-0.3580322,0.1461182,0.8856201,0.04486084,-1.839295,-4.044952,0.2305908,0.2119141,-0.9207764
182,100,-0.350708,0.1878662,0.8908691,-3.588867,2.64679,0.5158997,0.2402344,0.1929932,-0.9324951
183,100,-0.34375,0.1619873,0.8929443,1.502838,-5.988923,0.1644897,0.2402344,0.1929932,-0.9324951
184,100,-0.3657227,0.1513672,0.880249,1.226196,-3.259888,-0.3588867,0.2402344,0.1929932,-0.9324951
185,100,-0.3688965,0.1605225,0.8791504,-1.40564,-3.521576,-0.9645082,0.2402344,0.1929932,-0.9324951
186,100,-0.348877,0.1629639,0.894165,-0.2243042,0.5682373,-0.5607605,0.2402344,0.1929932,-0.9324951
187,100,-0.3656006,0.2081299,0.8914795,6.886139,2.467346,0.9196473,0.2402344,0.1929932,-0.9324951
188,100,-0.2789307,-0.1781006,0.9783936,19.10324,8.224487,12.20963,0.2402344,0.1929932,-0.9324951
189,100,-0.6240234,0.2471924,0.7458496,2.003784,-15.37979,-14.64707,0.2460938,0.2250977,-0.904541
190,100,-0.154541,0.05554199,0.9919434,10.01892,9.099274,3.469239,0.2460938,0.2250977,-0.904541
191,100,-0.2519531,0.1652832,0.9744873,12.1872,-8.800201,9.944153,0.2460938,0.2250977,-0.904541
192,100,-0.3514404,0.1159668,0.8964844,-1.61499,12.33673,-0.7775879,0.2460938,0.2250977,-0.904541
193,100,-0.3188477,0.1295166,0.9177246,-1.248627,-4.09729,-5.652466,0.2460938,0.2250977,-0.904541
194,100,-0.3452148,0.1201172,0.9093018,3.626251,-1.143951,-0.1495361,0.2460938,0.2250977,-0.904541
195,100,-0.3527832,0.1378174,0.8861084,0.8673097,-0.2616882,-1.300964,0.2460938,0.2250977,-0.904541
196,100,-0.3295898,0.1842041,0.902832,0.1271057,-0.971985,-3.626251,0.2613525,0.2078857,-0.9014893
197,100,-0.3651123,0.1610107,0.8280029,-3.342133,-6.676789,4.388885,0.2613525,0.2078857,-0.9014893
198,100,-0.2005615,0.03674316,0.9658203,7.880555,20.59113,14.07135,0.2613525,0.2078857,-0.9014893
199,100,-0.3581543,0.1210938,0.8948975,-2.721558,-9.929199,-41.56357,0.2613525,0.2078857,-0.9014893
200,100,-0.3619385,0.02172852,0.9272461,-2.714081,2.572021,16.1499,0.2613525,0.2078857,-0.9014893
201,100,-0.1467285,0.05493164,0.9715576,-32.20261,-6.916047,-26.66977,0.2613525,0.2078857,-0.9014893
202,100,-0.314209,0.07995605,0.9233398,4.927216,2.115936,1.996307,0.2613525,0.2078857,-0.9014893
203,100,-0.28479,0.08630371,0.9263916,9.091797,-0.9869386,0.1644897,0.2728271,0.1949463,-0.8880615
204,100,-0.2889404,0.1574707,0.9160156,-1.607514,-0.5981445,-2.601929,0.2728271,0.1949463,-0.8880615
205,100,-0.3096924,0.1451416,0.9073486,2.706604,-3.043061,1.300964,0.2728271,0.1949463,-0.8880615
206,100,-0.3078613,0.1463623,0.9046631,0.657959,-0.3514099,-0.4187012,0.2728271,0.1949463,-0.8880615
207,100,-0.3049316,0.1478271,0.9051514,1.644898,-0.3663635,-0.4934693,0.2728271,0.1949463,-0.8880615
208,100,-0.3044434,0.1437988,0.9108887,1.540222,-2.83371,-15045,0.2728271,0.1949463,-0.8880615
209,100,-0.3105469,0.1541748,0.90271,0.1495361,-0.08972169,-0.1719666,0.2720947,0.1948242,-0.8977051
210,100,-0.2999268,0.1719971,0.901001,-15.46204,-0.1794434,7.439423,0.2720947,0.1948242,-0.8977051
211,100,-0.1542969,0.01184082,1.008667,-9.488068,-1.667328,-43.72437,0.2720947,0.1948242,-0.8977051
212,100,-0.3062744,0.2089844,1.002075,24.65851,4.486084,-18.62473,0.2720947,0.1948242,-0.8977051
213,100,-0.2806396,0.151001,0.8840332,-36.46439,-12.32178,27.79877,0.2720947,0.1948242,-0.8977051
214,100,-0.4769287,0.2952881,0.7947998,3.028107,18.16864,9.069366,0.2720947,0.1948242,-0.8977051
215,100,-0.1945801,-0.2032471,0.9642334,-23.15567,-4.501038,-7.132874,0.2720947,0.1948242,-0.8977051
216,100,-0.364624,0.4227295,0.8876953,-24.87534,1.682282,-31.40259,0.2679443,0.2484131,-0.8942871
217,100,-0.0201416,-0.213501,1.057617,53.21244,46.24405,-40.27756,0.2679443,0.2484131,-0.8942871
218,100,-0.1918945,0.04174805,0.9373779,27.43988,6.527253,3.760834,0.2679443,0.2484131,-0.8942871
219,100,-0.04650879,-0.1262207,0.8376465,-5.36087,4.164581,-11.82831,0.2679443,0.2484131,-0.8942871
220,100,0.08642578,0.2734375,1.144165,-25.90714,-8.448792,-26.19126,0.2679443,0.2484131,-0.8942871
221,100,-0.204834,-0.1582031,0.9681396,6.990815,-22.61734,17.54059,0.2679443,0.2484131,-0.8942871
222,100,-0.1772461,0.04882813,0.9831543,-3.962708,-5.099182,10.48248,0.2679443,0.2484131,-0.8942871
223,100,-0.04541016,-0.06713867,1.034302,-16.28448,-2.751465,-53.4816,0.2800293,0.2806396,-0.8642578
224,100,-0.1470947,-0.09301758,0.949585,-0.2766418,-0.07476807,28.89038,0.2800293,0.2806396,-0.8642578
