Sequence No,Buffer_Size,ax,ay,az,gx,gy,gz,mx,my,mz
526,100,0.0357666,0.8485107,0.3056641,34.09424,-17.57797,11.6713,-0.3496094,-0.111084,-0.8216553
527,100,-0.2839355,1.349487,0.03295898,151.3007,24.34448,-16.41159,-0.3533936,-0.1573486,-0.7321777
528,100,-0.08203125,0.890625,0.1564941,-125.8795,24.65851,28.03055,-0.3533936,-0.1573486,-0.7321777
529,100,0.06811523,1.067383,0.1362305,27.99317,-36.71112,-66.99966,-0.3533936,-0.1573486,-0.7321777
530,100,-0.03271484,1.210449,0.02355957,122.5748,41.41403,-41.33926,-0.3533936,-0.1573486,-0.7321777
531,100,0.04675293,0.552002,0.2747803,-126.044,30.24368,28.19504,-0.3533936,-0.1573486,-0.7321777
532,100,0.3105469,1.4021,0.1253662,10.51239,-88.4282,3.170166,-0.3533936,-0.1573486,-0.7321777
533,100,0.3468018,1.089844,0.06921387,3.715973,-5.996399,6.39267,-0.369751,-0.1448975,-0.7009277
534,100,-0.1224365,0.6608887,0.09472656,-0.01495361,21.922,-15.5069,-0.369751,-0.1448975,-0.7009277
535,100,-0.1628418,1.04187,0.08068848,-77.24289,11.37222,3.962708,-0.369751,-0.1448975,-0.7009277
536,100,-0.1014404,0.8616943,-0.03918457,-8.845062,45.07767,16.97983,-0.369751,-0.1448975,-0.7009277
537,100,-0.07836914,1.232422,0.1391602,173.3572,-61.01075,-1.846771,-0.369751,-0.1448975,-0.7009277
538,100,-0.1580811,1.237427,-0.04211426,-127.8758,49.19739,18.06396,-0.369751,-0.1448975,-0.7009277
539,100,0.4920654,1.414551,0.2506104,3.424378,-45.59357,-37.51862,-0.3492432,-0.1583252,-0.7716064
540,100,0.2232666,1.108765,-0.1660156,50.30396,-3.753357,-6.631928,-0.3492432,-0.1583252,-0.7716064
541,100,-0.0201416,0.5552979,0.3317871,-1.936493,16.68823,5.091705,-0.3492432,-0.1583252,-0.7716064
542,100,0.001586914,0.6175537,-0.1552734,-56.09101,-10.72922,-1.495361,-0.3492432,-0.1583252,-0.7716064
543,100,0.1314697,1.052612,0.06420898,-18.42285,-1.854248,26.52771,-0.3492432,-0.1583252,-0.7716064
544,100,0.1013184,0.9124756,0.03259277,171.7348,-68.56979,-44.57673,-0.3492432,-0.1583252,-0.7716064
545,100,-0.1416016,1.281738,-0.2189941,-108.0548,45.32441,16.3443,-0.3511963,-0.08581543,-0.8735352
546,100,0.01782227,0.7918701,-0.09240723,59.54529,13.90686,-34.50546,-0.3511963,-0.08581543,-0.8735352
547,100,0.04223633,1.011475,-0.2369385,97.14616,14.87137,-30.95398,-0.3511963,-0.08581543,-0.8735352
548,100,0.0324707,0.5324707,0.2976074,-63.35099,15.34241,24.74076,-0.3511963,-0.08581543,-0.8735352
549,100,0.2215576,0.7670898,-0.1297607,-21.62292,34.24377,10.20584,-0.3511963,-0.08581543,-0.8735352
550,100,0.1491699,1.073364,0.02441406,-1.637421,9.615173,22107,-0.3511963,-0.08581543,-0.8735352
551,100,-0.03930664,0.6229248,0.04467773,103.4715,-98.46207,-31.20072,-0.3511963,-0.08581543,-0.8735352
552,100,-0.08984375,1.366089,0.007202148,-103.8828,8.396454,3.925324,-0.3691406,-0.1148682,-0.8342285
553,100,0.05358887,0.7214355,-0.01733398,42.43835,51.33576,-7.745972,-0.3691406,-0.1148682,-0.8342285
554,100,-0.1837158,1.172119,-0.02624512,105.079,5.50293,-17.65274,-0.3691406,-0.1148682,-0.8342285
555,100,0.08996582,0.5863037,0.2250977,-101.8416,9.181519,24.03046,-0.3691406,-0.1148682,-0.8342285
556,100,0.3190918,1.193359,0.1712646,-11.62644,-71.83716,25.27909,-0.3691406,-0.1148682,-0.8342285
557,100,0.3405762,0.9936523,-0.1075439,4.859924,-29.57077,6.474915,-0.3691406,-0.1148682,-0.8342285
558,100,-0.08178711,0.5866699,0.09594727,37.95975,-27.18567,-25.72769,-0.3516846,-0.1723633,-0.8032227
559,100,0.01013184,1.510986,-0.07580566,-109.3259,16.99478,21.27899,-0.3516846,-0.1723633,-0.8032227
560,100,-0.1135254,0.8013916,-0.1052246,3.843079,42.79724,-7.708588,-0.3516846,-0.1723633,-0.8032227
561,100,-0.01965332,1.131226,0.03869629,107.5389,-32.62131,-31.49231,-0.3516846,-0.1723633,-0.8032227
562,100,-0.07446289,0.7565918,0.01818848,-133.8947,36.47934,46.14685,-0.3516846,-0.1723633,-0.8032227
563,100,0.3093262,1.488281,0.2901611,-63.62763,-81.71402,2.654266,-0.3516846,-0.1723633,-0.8032227
564,100,0.46521,0.9887695,-0.0645752,23.99307,-11.52176,1.734619,-0.310791,-0.1938477,-0.776123
565,100,-0.03356934,0.6859131,0.2727051,10.89371,-5.450592,-0.7701111,-0.310791,-0.1938477,-0.776123
566,100,-0.005493164,0.8494873,0.05517578,-78.43918,0,1.510315,-0.310791,-0.1938477,-0.776123
567,100,0.2119141,1.002319,0.06286621,5.615082,36.62888,32.31476,-0.310791,-0.1938477,-0.776123
568,100,0.06945801,1.163818,-0.1346436,163.3234,-28.55393,-22.68463,-0.310791,-0.1938477,-0.776123
569,100,-0.09814453,0.8798828,0.09313965,-116.7803,45.18982,46.81977,-0.310791,-0.1938477,-0.776123
570,100,0.7515869,1.164429,-0.06567383,-3.611298,-101.4603,-11.25259,-0.3352051,-0.1778564,-0.7678223
571,100,0.2821045,1.059326,0.02722168,-21.51077,-22.13883,4.373932,-0.3352051,-0.1778564,-0.7678223
572,100,0.18396,0.50354,0.3701172,-8.202057,21.4061,8.19458,-0.3352051,-0.1778564,-0.7678223
573,100,0.03344727,0.7749023,0.01037598,-53.54142,20.81543,14.25079,-0.3352051,-0.1778564,-0.7678223
574,100,0.1416016,0.9832764,0.04724121,-6.57959,16.77795,20.17242,-0.3352051,-0.1778564,-0.7678223
575,100,-0.02319336,1.052612,0.2198486,153.3194,-60.62943,-21.44348,-0.3352051,-0.1778564,-0.7678223
576,100,0.001220703,1.060425,-0.1948242,-88.4282,19.49951,15.73868,-0.359375,-0.1556396,-0.8077393
577,100,0.3375244,1.033081,0.1246338,31.41754,-12.57599,-61.65375,-0.359375,-0.1556396,-0.8077393
578,100,0.3178711,1.094238,-0.08459473,22.25846,-20.81543,-12.40402,-0.359375,-0.1556396,-0.8077393
579,100,0.2028809,0.5024414,0.3312988,-20.90515,14.0564,6.609498,-0.359375,-0.1556396,-0.8077393
580,100,0.2687988,0.9898682,0.0690918,-13.47321,11.25259,14.75922,-0.359375,-0.1556396,-0.8077393
581,100,0.197876,1.04187,-0.05993652,-10.75912,-3.551483,28.03803,-0.359375,-0.1556396,-0.8077393
582,100,0.0222168,0.6362305,0.1385498,54.30405,-20.63599,-25.72769,-0.3447266,-0.1405029,-0.861084
583,100,0.03649902,1.192627,0.02160645,-92.77222,7.738495,13.21152,-0.3447266,-0.1405029,-0.861084
584,100,0.06164551,0.7755127,-0.1710205,43.40286,19.58176,-61.6687,-0.3447266,-0.1405029,-0.861084
